nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Big Data Engineer,Warszawa,Nie,Brak danych,Brak danych
REMOTE Azure Data Engineer,Warszawa,Tak,25 200,28 560
Oracle Forms and PL/SQL developer,Warszawa,Tak,Brak danych,Brak danych
Oracle Database Administrator,Warszawa,Tak,Brak danych,Brak danych
Google Cloud Platform Engineer,Warszawa,Tak,Brak danych,Brak danych
DWH / ETL Support Engineer,Warszawa,Tak,Brak danych,Brak danych
ETL Developer,Wrocław,Tak,5 000,8 500
Junior BI Developer,Wrocław,Tak,5 000,8 500
Database Engineer,Warszawa,Tak,22 000,32 000
Azure Data Factory (ADF) Data Engineer,Warszawa,Tak,Brak danych,Brak danych
"Data Engineer, Observability",Nowy Jork,Tak,Brak danych,Brak danych
Big Data Apps Operation Specialist,Warszawa,Tak,Brak danych,Brak danych
Data Network Automation Engineer,Warszawa,Nie,Brak danych,Brak danych
Data scientist,Gdynia,Tak,6 000,12 000
Machine Learning Engineer,San Francisco,Tak,Brak danych,Brak danych
"Data Analyst, Data Feeds",Chicago,Tak,Brak danych,Brak danych
Data Security & Access MGMT Specialist,Warszawa,Nie,Brak danych,Brak danych
Senior Oracle Apex Developer,Warszawa,Nie,Brak danych,Brak danych
Oracle Apex Developer,Warszawa,Nie,Brak danych,Brak danych
Junior Database Engineer,Gdańsk,Nie,Brak danych,Brak danych
Junior ETL Developer,Warszawa,Nie,13 000,16 000
Elixir Back-End Engineer,Warszawa,Tak,15 000,30 000
Młodszy Specjalista ds. Wdrożeń IT,Warszawa,Nie,4 800,7 200
Automation Software Tester,"Gdańsk, +1 location",Tak,12 000,16 800
Frontend Engineer,Fully Remote,Tak,47 580,65 880
Senior Big Data Developer with Python,"Warszawa, +1 location",Tak,18 000,25 000
Data Scientist,New York,Tak,,
Big Data Developer,Warszawa,Nie,13 000,25 000
Data Engineer,San Francisco,Tak,Brak danych,Brak danych
Timescale/PostgreSQL Engineer,San Francisco,Tak,29 280,51 240
