nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Regular Java Developer,Kraków,Tak,Brak danych,Brak danych
Senior Java/Kotlin Developer,"Wrocław, +18 locations",Tak,20 000,30 000
Java Developer,"Łódź, +2 locations",Tak,10 000,18 000
Java Developer,Warszawa,Nie,6 000,11 000
Remote Java Mid/Senior Developer,"Lublin, +2 locations",Tak,14 000,23 000
Mid Backend Developer,"Warszawa, +2 locations",Tak,20 160,24 360
Senior Java Fullstack Developer,Warszawa,Nie,Brak danych,Brak danych
Java Developer,Warszawa,Tak,20 000,28 000
Integration Engineer,Kraków,Tak,15 600,20 400
Backend Software Engineer (Java),Warszawa,Tak,20 000,25 000
Programista Java,"Bolszewo, +2 locations",Tak,Brak danych,Brak danych
Java Developer,"Sopot, +2 locations",Nie,Brak danych,Brak danych
Java Developer,"Kraków, +2 locations",Tak,14 000,18 000
Senior Software Engineer (Java),"Kraków, +4 locations",Tak,18 400,25 300
Java Developer,"Poznań, +2 locations",Tak,15 000,19 000
Remote Java Developer,Poznań,Tak,11 880,23 760
Java/Kotlin Developer,Kraków,Nie,15 600,18 000
Java Developer w/ some Angular,"Łódź, +2 locations",Tak,17 000,25 500
Senior Full Stack Java Developer,Wrocław,Tak,16 000,25 000
Middle Java + JS Developer,"Warszawa, +2 locations",Tak,20 000,24 000
Java/Kotlin Developer (eBike),Warszawa,Nie,Brak danych,Brak danych
Senior Java Developer,"Wrocław, +2 locations",Tak,20 000,27 000
Senior Platform Backend Developer,Kraków,Tak,18 000,26 000
Hadoop Platform Owner,Warszawa,Nie,Brak danych,Brak danych
Java Hybris Developer,Warszawa,Nie,Brak danych,Brak danych
IoT Solution Manager,Warszawa,Nie,Brak danych,Brak danych
Java/Kotlin Developer (eBike),Warszawa,Nie,Brak danych,Brak danych
Senior Java Developer,"Wrocław, +2 locations",Tak,20 000,27 000
Senior Platform Backend Developer,Kraków,Tak,18 000,26 000
Hadoop Platform Owner,Warszawa,Nie,Brak danych,Brak danych
Java Hybris Developer,Warszawa,Nie,Brak danych,Brak danych
IoT Solution Manager,Warszawa,Nie,Brak danych,Brak danych
Software Engineer (f/m/d) Java – Finance,Leipzig,Nie,18 580,25 550
Java/Kotlin Developer,Kraków,Tak,7 000,12 000
Senior Java Developer,"Sopot, +2 locations",Nie,Brak danych,Brak danych
Senior Java Developer,"Jasionka, +3 locations",Tak,Brak danych,Brak danych
Java Developer,"Warszawa, +3 locations",Tak,21 840,28 560
Full Stack Developer,Warszawa,Nie,16 000,21 000
Full-stack Developer (Java+React),Warszawa,Nie,15 000,21 000
Project Manager,Toruń,Nie,15 000,22 800
"Regular / Senior Java Developer, FinTech","Poznań, +1 location",Tak,16 000,19 200
Junior Java Developer,Warszawa,Tak,5 000,8 000
Java Developer (R&D),Warszawa,Tak,12 000,17 000
