,zarobki_min,zarobki_max,nazwa,miasto,zdalnie,zarobki_srednie
1582,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
1583,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
1584,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
1585,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
1602,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Nie,22200.0
1608,19000.0,25400.0,Senior Java Developer,"Kraków, Wrocław",Nie,22200.0
1611,7200.0,14500.0,Senior Software Engineer,"Katowice, Kraków, Łódź, Warszawa",Tak,10850.0
1612,19000.0,25400.0,Senior Java Developer,"Katowice, Łódź",Tak,22200.0
1613,19000.0,25400.0,Senior Java Developer,"Katowice, Łódź",Tak,22200.0
1615,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Nie,22200.0
1619,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Nie,22200.0
1620,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Nie,22200.0
1627,7200.0,14500.0,Senior Software Engineer,"Kraków, Szczecin, Warszawa, Wrocław",Tak,10850.0
1632,7200.0,14500.0,Senior Software Engineer,"Kraków, Łódź, Lublin, Wrocław",Tak,10850.0
1638,14000.0,20800.0,Tester Automatyzujący Java,"Białystok, Bydgoszcz, Gdańsk, Katowice, Kraków, Łódź, Lublin, Poznań, Rzeszów, Warszawa, Wrocław",Tak,17400.0
1641,14500.0,17500.0,Cloud Developer Fullstack (SAP BTP),"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Tak,16000.0
1644,19000.0,25400.0,Senior Java Developer,"Lublin, Wrocław",Tak,22200.0
1647,20000.0,25000.0,Lead Developer/Architect,"Katowice, Kraków, Lublin, Sosnowiec, Warszawa, Wrocław",Tak,22500.0
1648,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Kraków, Paryż, Ulm",Tak,15350.0
1654,19000.0,25400.0,Senior Java Developer,"Białystok, Lublin",Tak,22200.0
1655,19000.0,25400.0,Senior Java Developer,"Gdynia, Warszawa",Tak,22200.0
1657,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
1659,7200.0,14500.0,Senior Software Engineer,"Bydgoszcz, Gdańsk, Poznań, Warszawa",Tak,10850.0
1662,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Łódź, Wrocław",Tak,15350.0
1663,25000.0,32000.0,Java Tech Lead,"Białystok, Gdańsk, Łódź, Lublin, Poznań, Szczecin, Warszawa, Wrocław",Tak,28500.0
1681,8000.0,14000.0,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,11000.0
