nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Senior Developer Support Engineer,Gdańsk,Tak,Brak danych,Brak danych
Junior IT Support Specialist,Warszawa,Nie,Brak danych,Brak danych
Application Support,Wrocław,Tak,15 000,17 000
Infrastructure Support Analyst,Warszawa,Tak,16 000,25 000
IT Support Specialist with German,Gdańsk,Nie,Brak danych,Brak danych
Kafka Platform Engineer,Warszawa,Tak,Brak danych,Brak danych
Kafka Application Java CICD Support,Warszawa,Tak,Brak danych,Brak danych
Workplace Engineer,Łódź,Nie,Brak danych,Brak danych
Specjalista ds. Technicznego Wsparcia,Warszawa,Nie,4 000,4 600
Application Support Engineer (Big Data),Łódź,Nie,Brak danych,Brak danych
Support Engineer,Gdańsk,Nie,Brak danych,Brak danych
Pracownik wsparcia IT,Rzeszów,Nie,Brak danych,Brak danych
Technical Support,Piekary Śląskie,Nie,Brak danych,Brak danych
Kierownik Projektów IT,Kraków,Nie,Brak danych,Brak danych
Banking Platform Developer,Warszawa,Tak,Brak danych,Brak danych
IT Support Specialist,Poznań,Nie,Brak danych,Brak danych
Travel Network API Support (,Kraków,Nie,Brak danych,Brak danych
Junior Travel Network Product Support,Kraków,Nie,Brak danych,Brak danych
Junior Travel Network Technical Support,Kraków,Nie,Brak danych,Brak danych
Information Technology Support Engineer,Warszawa,Nie,16 000,18 000
Konsultant Techniczny,Kraków,Nie,Brak danych,Brak danych
Application Support Specialist,Gliwice,Tak,9 000,10 000
Specjalista – Operator sieci IP,Warszawa,Nie,Brak danych,Brak danych
Specjalista ds. nadzoru sieci,Warszawa,Nie,Brak danych,Brak danych
"Support Engineer L2 (SQL, IIS)",Kraków,Nie,8 000,14 000
Konsultant asysty technicznej -logistyka,Kraków,Nie,Brak danych,Brak danych
Cisco UC and Contact Center Specialist,Gdańsk,Tak,Brak danych,Brak danych
IT Support Specialist,Warszawa,Nie,Brak danych,Brak danych
ITSM Consultant,Warszawa,Nie,14 000,20 000
Testing and Project Support with German,Poznań,Tak,4 500,6 500
Junior Support Specialist,Kraków,Nie,3 500,7 000
