nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Salesforce Admin,Wrocław,Tak,Brak danych,Brak danych
Citrix Administrator,Katowice,Nie,Brak danych,Brak danych
Junior Cloud System Administrator,Wrocław,Nie,7 000,9 000
Junior IT Admin,Łódź,Nie,Brak danych,Brak danych
Wintel Administrator,Warszawa,Tak,Brak danych,Brak danych
System Administrator,Bielsko-Biała,Nie,8 000,12 000
Atlassian Admin (Jira/Confluence),Wrocław,Tak,12 000,15 600
Młodszy administrator,Poznań,Nie,Brak danych,Brak danych
Junior System Administrator/Local IT,Warszawa,Nie,Brak danych,Brak danych
Administrator IT,Gdynia,Nie,Brak danych,Brak danych
Administrator Systemów IT,"Wrocław, +4 locations",Tak,5 000,9 000
Oracle Database Administrator,Wrocław,Nie,Brak danych,Brak danych
Junior IT Specialist,Warszawa,Nie,4 000,6 000
Administrator IT,Warszawa,Nie,Brak danych,Brak danych
Administrator Systemów,Warszawa,Nie,Brak danych,Brak danych
Administrator Baz Danych PostgreSQL,"Katowice, +2 locations",Tak,13 000,20 000
Administrator Sieci i Systemów,Warszawa,Nie,8 000,11 000
Big Data Platform Engineer,Warszawa,Tak,Brak danych,Brak danych
System Administrator,Łódź,Nie,7 000,14 000
Systems Administrator,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Head of IT Administration,Warszawa,Nie,14 000,20 000
Junior Linux Operator,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
M365 Admin/L3 Support (PowerBI),Wrocław,Tak,18 000,23 000
Linux Engineer,Warszawa,Tak,6 720,10 080
IT Operations Engineer - Linux,Rzeszów,Tak,Brak danych,Brak danych
Specjalista ds. IT,"Gorlice, +1 location",Nie,Brak danych,Brak danych
Administrator systemów IT / DevOps,Rzeszów,Nie,8 000,16 000
SysOps Engineer,Zabierzów,Nie,9 500,19 000
Senior System Administrator,"Kraków, +1 location",Nie,14 000,18 000
Atlassian System Administrator,Wrocław,Tak,13 600,17 800
Kubernetes Engineer,Szczecin,Tak,14 000,20 000
Administrator LINUX / Sysadmin,Szczecin,Tak,14 000,20 000
Microsoft Specialist M365,Katowice,Nie,15 000,17 000
Use Case Operations Engineer,Łódź,Nie,Brak danych,Brak danych
IT Administrator / Support Specialist,Warszawa,Nie,8 000,12 000
System Administrator,"Warszawa, +3 locations",Tak,15 000,20 000
IT Administrator,Warszawa,Nie,Brak danych,Brak danych
Application Administrator - Wertpapier,Łódź,Nie,Brak danych,Brak danych
Presales Engineer z językiem niemieckim,Warszawa,Tak,15 000,20 000
Linux Administrator with DevOps,Kraków,Tak,15 750,18 900
Administrator Bazy Danych,Warszawa,Nie,Brak danych,Brak danych
Junior System Administrator-Application,Gdańsk,Nie,Brak danych,Brak danych
Administrator IT/Kierownik Zespołu,Poznań,Nie,9 000,14 000
"Junior Systems Engineer - Linux, Cloud",Gdańsk,Nie,8 200,12 300
Service Provider Admin - DevPortal,Kraków,Tak,Brak danych,Brak danych
Linux Administrator,Warszawa,Nie,Brak danych,Brak danych
Senior Software Systems Engineering,Kraków,Tak,Brak danych,Brak danych
Młodszy Administrator Systemów Linux,Warszawa,Nie,Brak danych,Brak danych
Administrator Linux,Warszawa,Tak,13 000,16 000
Linux System Administrator,Warszawa,Nie,7 000,10 000
Junior System Administrator,Gdańsk,Nie,Brak danych,Brak danych
Junior Systems Engineer/Windows Server,Gdańsk,Nie,Brak danych,Brak danych
Junior Database Administrator,Gdańsk,Nie,Brak danych,Brak danych
Junior Systems Engineer/Cloud,Gdańsk,Nie,Brak danych,Brak danych
Junior Systems Engineer/Application,Gdańsk,Nie,Brak danych,Brak danych
Senior Application Administrator,"Warszawa, +3 locations",Nie,Brak danych,Brak danych
Administrator Sieci i Systemów IT,"Częstochowa, +1 location",Nie,9 000,14 000
Administrator (Salesforce),Poznań,Tak,Brak danych,Brak danych
Administrator Sieci,Warszawa,Nie,Brak danych,Brak danych
Administrator systemów i aplikacji,Warszawa,Nie,Brak danych,Brak danych
Network Administrator,Warszawa,Nie,Brak danych,Brak danych
Oracle Administrator (DBS Operations),Łódź,Nie,Brak danych,Brak danych
Database Administrator,Gdańsk,Tak,Brak danych,Brak danych
Network Administration Engineer,Gdańsk,Tak,Brak danych,Brak danych
