nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Node.js Team Manager,"Gliwice, +1 location",Tak,20 000,26 000
Frontend Developer,"Gliwice, +3 locations",Tak,9 500,16 000
Front-end React Engineer (Regular),Wrocław,Tak,14 000,20 000
Senior React Developer,"Warszawa, +18 locations",Tak,20 000,25 000
Full Stack Developer,Gdańsk,Tak,Brak danych,Brak danych
Senior Backend Software Engineer,"Dublin, +2 locations",Tak,17 600,26 700
Senior JavaScript Fullstack Developer,"Warszawa, +2 locations",Tak,22 000,27 000
"Frontend Developer (Vue.js), 100% remote","Gdańsk, +3 locations",Tak,10 500,16 500
Front-End Developer (fully remote),Kraków,Tak,9 000,15 000
Frontend Engineer (React),Poznań,Tak,11 000,15 000
React Developer,"Wrocław, +2 locations",Tak,14 000,20 000
FullStack JS Developer (Node.js / React),Split,Nie,Brak danych,Brak danych
Regular JavaScript Fullstack Developer,"Warszawa, +2 locations",Tak,16 000,21 000
Senior Frontend Developer,Warszawa,Tak,13 550,19 350
Senior Frontend Developer,Kraków,Tak,18 000,26 000
Senior Front-end Developer,Gdańsk,Tak,Brak danych,Brak danych
JavaScript Developer,Warszawa,Nie,Brak danych,Brak danych
Frontend developer,Wrocław,Tak,7 300,14 500
Middle Node.js Developer,"Kraków, +2 locations",Tak,8 000,15 000
Frontend Developer,Wrocław,Tak,15 000,18 000
Front-end Developer,Gdańsk,Tak,Brak danych,Brak danych
JavaScript Developer,Warszawa,Nie,Brak danych,Brak danych
QA Engineer,Kraków,Tak,11 760,16 800
Senior Frontend Developer (Vue.js),"Toruń, +3 locations",Tak,15 000,23 000
Front-end Developer (React),"Gdynia, +1 location",Tak,18 000,26 000
React Native Developer,"Warszawa, +3 locations",Tak,26 350,37 330
Angular Frontend Developer,Warszawa,Tak,Brak danych,Brak danych
Back-end Developer (Node.js),Kraków,Tak,15 000,23 000
Web Developer (React),Kraków,Nie,14 500,17 000
Front-end Developer,"Gdańsk, +2 locations",Tak,8 610,16 380
Node.js Developer,"Warszawa, +2 locations",Tak,20 000,27 000
React native / Typescript dev (mid/sr),"Warszawa, +2 locations",Tak,16 000,23 000
Node.js / Typescript  developer (mid/sr),"Warszawa, +2 locations",Tak,15 000,21 000
Frontend Developer,"Wrocław, +2 locations",Tak,14 000,22 000
Remote Frontend Developer,Warszawa,Tak,10 000,14 000
Front-end Developer,"Warszawa, +2 locations",Tak,10 000,16 000
Software Development Engineer - Frontend,Kraków,Nie,24 000,36 000
React / React Native Developer,"Warszawa, +2 locations",Tak,16 500,22 500
Fullstack Engineer (JavaScript),Warszawa,Tak,Brak danych,Brak danych
Node.js Developer with React,"Wrocław, +2 locations",Tak,7 100,14 000
Front-end Developer,"Warszawa, +3 locations",Tak,17 000,23 000
Senior Full-stack Engineer (React/TypeScript),"London, +2 locations",Tak,24 620,30 090
Remote Frontend Developer,"Kraków, +2 locations",Tak,8 000,16 000
Fullstack Software Engineer,"Poznań, +2 locations",Tak,20 000,27 000
